cycle,pos,y,x,och,code,out_ch_done,python,diff
1337,161,12,5,5,0,0,0,0
1339,162,12,6,3,0,0,0,0
1339,162,12,6,4,0,0,0,0
1339,162,12,6,5,0,0,0,0
1341,163,12,7,3,238,0,238,0
1341,163,12,7,4,0,0,0,0
1341,163,12,7,5,0,0,0,0
1343,164,12,8,3,0,0,0,0
1343,164,12,8,4,0,0,0,0
1343,164,12,8,5,15,0,15,0
1345,165,12,9,3,0,0,0,0
1345,165,12,9,4,0,0,0,0
1345,165,12,9,5,15,0,15,0
1347,166,12,10,3,0,0,0,0
1347,166,12,10,4,0,0,0,0
1347,166,12,10,5,15,0,15,0
1349,167,12,11,3,0,0,0,0
1349,167,12,11,4,0,0,0,0
1349,167,12,11,5,15,0,15,0
1351,168,12,12,3,0,1,0,0
1351,168,12,12,4,0,1,0,0
1351,168,12,12,5,15,1,15,0
