cycle,fsm,ch_count,mac_start,phase_clear,mac_done,is_ch35,in_valid,in_ready,ch_done,pixel_valid,px_frame,px_pass,px_y,px_x,pixel_in0,pixel_in1,pixel_in2,lb_wr_row,lb_wr_col,win_valid,win_frame,win_pass,win_oy,win_ox,wac,cal_valid,out_ch_sel,rom_grp,mac_s1,mac_s2,mac_valid,mac_frame,mac_pass,mac_pos,mac_och,ch_result0,ch_result1,ch_result2,ob_state,ob_pixel_cnt,ob_och_cnt,sum_valid,sum_frame,sum_pos,sum_och,sum_data,sum_ch_done,fifo_count,out_valid,out_ready,out_frame,out_pos,out_och,out_data,out_ch_done,monitor_err
41,WAIT_MAC_02,0,0,0,0,0,1,0,0,0,,,,,0,1681,0,2,3,0,,,,,WEIGHT_CAL,1,10,0,1,1,1,0,0,0,7,0,152971,0,ACCUM_G0,0,7,0,,,,0,0,0,0,1,,,,,,0
42,WAIT_MAC_02,0,0,0,0,0,1,0,0,0,,,,,0,1681,0,2,3,0,,,,,WEIGHT_CAL,1,11,0,1,1,1,0,0,0,8,0,-28030675,0,ACCUM_G0,0,8,0,,,,0,0,0,0,1,,,,,,0
43,WAIT_MAC_02,0,0,0,0,0,1,0,0,0,,,,,0,1681,0,2,3,0,,,,,WEIGHT_CAL,1,12,0,1,1,1,0,0,0,9,0,-39908621,0,ACCUM_G0,0,9,0,,,,0,0,0,0,1,,,,,,0
44,WAIT_MAC_02,0,0,0,0,0,1,0,0,0,,,,,0,1681,0,2,3,0,,,,,WEIGHT_CAL,1,13,0,1,1,1,0,0,0,10,0,-51240242,0,ACCUM_G0,0,10,0,,,,0,0,0,0,1,,,,,,0
45,WAIT_MAC_02,0,0,0,0,0,1,0,0,0,,,,,0,1681,0,2,3,0,,,,,WEIGHT_CAL,1,14,0,1,1,1,0,0,0,11,0,21878215,0,ACCUM_G0,0,11,0,,,,0,0,0,0,1,,,,,,0
46,WAIT_MAC_02,0,0,0,0,0,1,0,0,0,,,,,0,1681,0,2,3,0,,,,,WEIGHT_CAL,1,15,0,1,1,1,0,0,0,12,0,7124078,0,ACCUM_G0,0,12,0,,,,0,0,0,0,1,,,,,,0
47,WAIT_MAC_02,0,0,0,1,0,1,0,0,0,,,,,0,1681,0,2,3,0,,,,,IDLE,0,0,0,1,1,1,0,0,0,13,0,4948864,0,ACCUM_G0,0,13,0,,,,0,0,0,0,1,,,,,,0
48,CH02_IMG_IN,0,0,0,0,0,1,1,0,1,0,0,2,3,0,1681,0,2,3,0,,,,,IDLE,0,0,0,0,1,1,0,0,0,14,0,-3994056,0,ACCUM_G0,0,14,0,,,,0,0,0,0,1,,,,,,0
49,CH02_IMG_IN,0,0,0,0,0,1,0,0,0,,,,,0,1681,0,2,4,1,0,0,0,1,IDLE,0,0,0,0,0,1,0,0,0,15,0,-26225281,0,ACCUM_G0,0,15,0,,,,0,0,0,0,1,,,,,,0
50,WAIT_MAC_02,0,1,0,0,0,1,0,0,0,,,,,0,1681,0,2,4,0,,,,,IDLE,0,0,0,0,0,0,,,,,0,0,0,ACCUM_G0,1,0,0,,,,0,0,0,0,1,,,,,,0
51,WAIT_MAC_02,0,0,0,0,0,1,0,0,0,,,,,0,1681,0,2,4,0,,,,,WEIGHT_CAL,1,0,0,0,0,0,,,,,0,0,0,ACCUM_G0,1,0,0,,,,0,0,0,0,1,,,,,,0
52,WAIT_MAC_02,0,0,0,0,0,1,0,0,0,,,,,0,1681,0,2,4,0,,,,,WEIGHT_CAL,1,1,0,1,0,0,,,,,0,0,0,ACCUM_G0,1,0,0,,,,0,0,0,0,1,,,,,,0
53,WAIT_MAC_02,0,0,0,0,0,1,0,0,0,,,,,0,1681,0,2,4,0,,,,,WEIGHT_CAL,1,2,0,1,1,0,,,,,0,0,0,ACCUM_G0,1,0,0,,,,0,0,0,0,1,,,,,,0
54,WAIT_MAC_02,0,0,0,0,0,1,0,0,0,,,,,0,1681,0,2,4,0,,,,,WEIGHT_CAL,1,3,0,1,1,1,0,0,1,0,0,-8732795,0,ACCUM_G0,1,0,0,,,,0,0,0,0,1,,,,,,0
55,WAIT_MAC_02,0,0,0,0,0,1,0,0,0,,,,,0,1681,0,2,4,0,,,,,WEIGHT_CAL,1,4,0,1,1,1,0,0,1,1,0,-6523961,0,ACCUM_G0,1,1,0,,,,0,0,0,0,1,,,,,,0
56,WAIT_MAC_02,0,0,0,0,0,1,0,0,0,,,,,0,1681,0,2,4,0,,,,,WEIGHT_CAL,1,5,0,1,1,1,0,0,1,2,0,-38652914,0,ACCUM_G0,1,2,0,,,,0,0,0,0,1,,,,,,0
57,WAIT_MAC_02,0,0,0,0,0,1,0,0,0,,,,,0,1681,0,2,4,0,,,,,WEIGHT_CAL,1,6,0,1,1,1,0,0,1,3,0,-309304,0,ACCUM_G0,1,3,0,,,,0,0,0,0,1,,,,,,0
58,WAIT_MAC_02,0,0,0,0,0,1,0,0,0,,,,,0,1681,0,2,4,0,,,,,WEIGHT_CAL,1,7,0,1,1,1,0,0,1,4,0,1941555,0,ACCUM_G0,1,4,0,,,,0,0,0,0,1,,,,,,0
59,WAIT_MAC_02,0,0,0,0,0,1,0,0,0,,,,,0,1681,0,2,4,0,,,,,WEIGHT_CAL,1,8,0,1,1,1,0,0,1,5,0,-97711487,0,ACCUM_G0,1,5,0,,,,0,0,0,0,1,,,,,,0
60,WAIT_MAC_02,0,0,0,0,0,1,0,0,0,,,,,0,1681,0,2,4,0,,,,,WEIGHT_CAL,1,9,0,1,1,1,0,0,1,6,0,39390873,0,ACCUM_G0,1,6,0,,,,0,0,0,0,1,,,,,,0
61,WAIT_MAC_02,0,0,0,0,0,1,0,0,0,,,,,0,1681,0,2,4,0,,,,,WEIGHT_CAL,1,10,0,1,1,1,0,0,1,7,0,152971,0,ACCUM_G0,1,7,0,,,,0,0,0,0,1,,,,,,0
62,WAIT_MAC_02,0,0,0,0,0,1,0,0,0,,,,,0,1681,0,2,4,0,,,,,WEIGHT_CAL,1,11,0,1,1,1,0,0,1,8,0,-28030675,0,ACCUM_G0,1,8,0,,,,0,0,0,0,1,,,,,,0
63,WAIT_MAC_02,0,0,0,0,0,1,0,0,0,,,,,0,1681,0,2,4,0,,,,,WEIGHT_CAL,1,12,0,1,1,1,0,0,1,9,0,-39908621,0,ACCUM_G0,1,9,0,,,,0,0,0,0,1,,,,,,0
64,WAIT_MAC_02,0,0,0,0,0,1,0,0,0,,,,,0,1681,0,2,4,0,,,,,WEIGHT_CAL,1,13,0,1,1,1,0,0,1,10,0,-51240242,0,ACCUM_G0,1,10,0,,,,0,0,0,0,1,,,,,,0
65,WAIT_MAC_02,0,0,0,0,0,1,0,0,0,,,,,0,1681,0,2,4,0,,,,,WEIGHT_CAL,1,14,0,1,1,1,0,0,1,11,0,21878215,0,ACCUM_G0,1,11,0,,,,0,0,0,0,1,,,,,,0
66,WAIT_MAC_02,0,0,0,0,0,1,0,0,0,,,,,0,1681,0,2,4,0,,,,,WEIGHT_CAL,1,15,0,1,1,1,0,0,1,12,0,7124078,0,ACCUM_G0,1,12,0,,,,0,0,0,0,1,,,,,,0
67,WAIT_MAC_02,0,0,0,1,0,1,0,0,0,,,,,0,1681,0,2,4,0,,,,,IDLE,0,0,0,1,1,1,0,0,1,13,0,4948864,0,ACCUM_G0,1,13,0,,,,0,0,0,0,1,,,,,,0
68,CH02_IMG_IN,0,0,0,0,0,1,1,0,1,0,0,2,4,0,1681,0,2,4,0,,,,,IDLE,0,0,0,0,1,1,0,0,1,14,0,-3994056,0,ACCUM_G0,1,14,0,,,,0,0,0,0,1,,,,,,0
69,CH02_IMG_IN,0,0,0,0,0,1,0,0,0,,,,,1136,1332,0,2,5,1,0,0,0,2,IDLE,0,0,0,0,0,1,0,0,1,15,0,-26225281,0,ACCUM_G0,1,15,0,,,,0,0,0,0,1,,,,,,0
70,WAIT_MAC_02,0,1,0,0,0,1,0,0,0,,,,,1136,1332,0,2,5,0,,,,,IDLE,0,0,0,0,0,0,,,,,0,0,0,ACCUM_G0,2,0,0,,,,0,0,0,0,1,,,,,,0
71,WAIT_MAC_02,0,0,0,0,0,1,0,0,0,,,,,1136,1332,0,2,5,0,,,,,WEIGHT_CAL,1,0,0,0,0,0,,,,,0,0,0,ACCUM_G0,2,0,0,,,,0,0,0,0,1,,,,,,0
72,WAIT_MAC_02,0,0,0,0,0,1,0,0,0,,,,,1136,1332,0,2,5,0,,,,,WEIGHT_CAL,1,1,0,1,0,0,,,,,0,0,0,ACCUM_G0,2,0,0,,,,0,0,0,0,1,,,,,,0
73,WAIT_MAC_02,0,0,0,0,0,1,0,0,0,,,,,1136,1332,0,2,5,0,,,,,WEIGHT_CAL,1,2,0,1,1,0,,,,,0,0,0,ACCUM_G0,2,0,0,,,,0,0,0,0,1,,,,,,0
74,WAIT_MAC_02,0,0,0,0,0,1,0,0,0,,,,,1136,1332,0,2,5,0,,,,,WEIGHT_CAL,1,3,0,1,1,1,0,0,2,0,0,-8732795,0,ACCUM_G0,2,0,0,,,,0,0,0,0,1,,,,,,0
75,WAIT_MAC_02,0,0,0,0,0,1,0,0,0,,,,,1136,1332,0,2,5,0,,,,,WEIGHT_CAL,1,4,0,1,1,1,0,0,2,1,0,-6523961,0,ACCUM_G0,2,1,0,,,,0,0,0,0,1,,,,,,0
76,WAIT_MAC_02,0,0,0,0,0,1,0,0,0,,,,,1136,1332,0,2,5,0,,,,,WEIGHT_CAL,1,5,0,1,1,1,0,0,2,2,0,-38652914,0,ACCUM_G0,2,2,0,,,,0,0,0,0,1,,,,,,0
77,WAIT_MAC_02,0,0,0,0,0,1,0,0,0,,,,,1136,1332,0,2,5,0,,,,,WEIGHT_CAL,1,6,0,1,1,1,0,0,2,3,0,-309304,0,ACCUM_G0,2,3,0,,,,0,0,0,0,1,,,,,,0
78,WAIT_MAC_02,0,0,0,0,0,1,0,0,0,,,,,1136,1332,0,2,5,0,,,,,WEIGHT_CAL,1,7,0,1,1,1,0,0,2,4,0,1941555,0,ACCUM_G0,2,4,0,,,,0,0,0,0,1,,,,,,0
79,WAIT_MAC_02,0,0,0,0,0,1,0,0,0,,,,,1136,1332,0,2,5,0,,,,,WEIGHT_CAL,1,8,0,1,1,1,0,0,2,5,0,-97711487,0,ACCUM_G0,2,5,0,,,,0,0,0,0,1,,,,,,0
80,WAIT_MAC_02,0,0,0,0,0,1,0,0,0,,,,,1136,1332,0,2,5,0,,,,,WEIGHT_CAL,1,9,0,1,1,1,0,0,2,6,0,39390873,0,ACCUM_G0,2,6,0,,,,0,0,0,0,1,,,,,,0
81,WAIT_MAC_02,0,0,0,0,0,1,0,0,0,,,,,1136,1332,0,2,5,0,,,,,WEIGHT_CAL,1,10,0,1,1,1,0,0,2,7,0,152971,0,ACCUM_G0,2,7,0,,,,0,0,0,0,1,,,,,,0
82,WAIT_MAC_02,0,0,0,0,0,1,0,0,0,,,,,1136,1332,0,2,5,0,,,,,WEIGHT_CAL,1,11,0,1,1,1,0,0,2,8,0,-28030675,0,ACCUM_G0,2,8,0,,,,0,0,0,0,1,,,,,,0
83,WAIT_MAC_02,0,0,0,0,0,1,0,0,0,,,,,1136,1332,0,2,5,0,,,,,WEIGHT_CAL,1,12,0,1,1,1,0,0,2,9,0,-39908621,0,ACCUM_G0,2,9,0,,,,0,0,0,0,1,,,,,,0
84,WAIT_MAC_02,0,0,0,0,0,1,0,0,0,,,,,1136,1332,0,2,5,0,,,,,WEIGHT_CAL,1,13,0,1,1,1,0,0,2,10,0,-51240242,0,ACCUM_G0,2,10,0,,,,0,0,0,0,1,,,,,,0
85,WAIT_MAC_02,0,0,0,0,0,1,0,0,0,,,,,1136,1332,0,2,5,0,,,,,WEIGHT_CAL,1,14,0,1,1,1,0,0,2,11,0,21878215,0,ACCUM_G0,2,11,0,,,,0,0,0,0,1,,,,,,0
86,WAIT_MAC_02,0,0,0,0,0,1,0,0,0,,,,,1136,1332,0,2,5,0,,,,,WEIGHT_CAL,1,15,0,1,1,1,0,0,2,12,0,7124078,0,ACCUM_G0,2,12,0,,,,0,0,0,0,1,,,,,,0
87,WAIT_MAC_02,0,0,0,1,0,1,0,0,0,,,,,1136,1332,0,2,5,0,,,,,IDLE,0,0,0,1,1,1,0,0,2,13,0,4948864,0,ACCUM_G0,2,13,0,,,,0,0,0,0,1,,,,,,0
88,CH02_IMG_IN,0,0,0,0,0,1,1,0,1,0,0,2,5,1136,1332,0,2,5,0,,,,,IDLE,0,0,0,0,1,1,0,0,2,14,0,-3994056,0,ACCUM_G0,2,14,0,,,,0,0,0,0,1,,,,,,0
89,CH02_IMG_IN,0,0,0,0,0,1,0,0,0,,,,,1030,0,3919,2,6,1,0,0,0,3,IDLE,0,0,0,0,0,1,0,0,2,15,0,-26225281,0,ACCUM_G0,2,15,0,,,,0,0,0,0,1,,,,,,0
90,WAIT_MAC_02,0,1,0,0,0,1,0,0,0,,,,,1030,0,3919,2,6,0,,,,,IDLE,0,0,0,0,0,0,,,,,0,0,0,ACCUM_G0,3,0,0,,,,0,0,0,0,1,,,,,,0
91,WAIT_MAC_02,0,0,0,0,0,1,0,0,0,,,,,1030,0,3919,2,6,0,,,,,WEIGHT_CAL,1,0,0,0,0,0,,,,,0,0,0,ACCUM_G0,3,0,0,,,,0,0,0,0,1,,,,,,0
92,WAIT_MAC_02,0,0,0,0,0,1,0,0,0,,,,,1030,0,3919,2,6,0,,,,,WEIGHT_CAL,1,1,0,1,0,0,,,,,0,0,0,ACCUM_G0,3,0,0,,,,0,0,0,0,1,,,,,,0
93,WAIT_MAC_02,0,0,0,0,0,1,0,0,0,,,,,1030,0,3919,2,6,0,,,,,WEIGHT_CAL,1,2,0,1,1,0,,,,,0,0,0,ACCUM_G0,3,0,0,,,,0,0,0,0,1,,,,,,0
94,WAIT_MAC_02,0,0,0,0,0,1,0,0,0,,,,,1030,0,3919,2,6,0,,,,,WEIGHT_CAL,1,3,0,1,1,1,0,0,3,0,5647056,-9335867,0,ACCUM_G0,3,0,0,,,,0,0,0,0,1,,,,,,0
95,WAIT_MAC_02,0,0,0,0,0,1,0,0,0,,,,,1030,0,3919,2,6,0,,,,,WEIGHT_CAL,1,4,0,1,1,1,0,0,3,1,1866448,-6824450,0,ACCUM_G0,3,1,0,,,,0,0,0,0,1,,,,,,0
96,WAIT_MAC_02,0,0,0,0,0,1,0,0,0,,,,,1030,0,3919,2,6,0,,,,,WEIGHT_CAL,1,5,0,1,1,1,0,0,3,2,3806736,-39700961,0,ACCUM_G0,3,2,0,,,,0,0,0,0,1,,,,,,0
97,WAIT_MAC_02,0,0,0,0,0,1,0,0,0,,,,,1030,0,3919,2,6,0,,,,,WEIGHT_CAL,1,6,0,1,1,1,0,0,3,3,-958784,-2284295,0,ACCUM_G0,3,3,0,,,,0,0,0,0,1,,,,,,0
98,WAIT_MAC_02,0,0,0,0,0,1,0,0,0,,,,,1030,0,3919,2,6,0,,,,,WEIGHT_CAL,1,7,0,1,1,1,0,0,3,4,4374736,2259494,0,ACCUM_G0,3,4,0,,,,0,0,0,0,1,,,,,,0
99,WAIT_MAC_02,0,0,0,0,0,1,0,0,0,,,,,1030,0,3919,2,6,0,,,,,WEIGHT_CAL,1,8,0,1,1,1,0,0,3,5,-98832,-95865626,0,ACCUM_G0,3,5,0,,,,0,0,0,0,1,,,,,,0
100,WAIT_MAC_02,0,0,0,0,0,1,0,0,0,,,,,1030,0,3919,2,6,0,,,,,WEIGHT_CAL,1,9,0,1,1,1,0,0,3,6,-8109904,39679845,0,ACCUM_G0,3,6,0,,,,0,0,0,0,1,,,,,,0
101,WAIT_MAC_02,0,0,0,0,0,1,0,0,0,,,,,1030,0,3919,2,6,0,,,,,WEIGHT_CAL,1,10,0,1,1,1,0,0,3,7,1740352,143897,0,ACCUM_G0,3,7,0,,,,0,0,0,0,1,,,,,,0
102,WAIT_MAC_02,0,0,0,0,0,1,0,0,0,,,,,1030,0,3919,2,6,0,,,,,WEIGHT_CAL,1,11,0,1,1,1,0,0,3,8,11890512,-26955755,0,ACCUM_G0,3,8,0,,,,0,0,0,0,1,,,,,,0
103,WAIT_MAC_02,0,0,0,0,0,1,0,0,0,,,,,1030,0,3919,2,6,0,,,,,WEIGHT_CAL,1,12,0,1,1,1,0,0,3,9,-3428448,-38506339,0,ACCUM_G0,3,9,0,,,,0,0,0,0,1,,,,,,0
104,WAIT_MAC_02,0,0,0,0,0,1,0,0,0,,,,,1030,0,3919,2,6,0,,,,,WEIGHT_CAL,1,13,0,1,1,1,0,0,3,10,3711312,-52598899,0,ACCUM_G0,3,10,0,,,,0,0,0,0,1,,,,,,0
105,WAIT_MAC_02,0,0,0,0,0,1,0,0,0,,,,,1030,0,3919,2,6,0,,,,,WEIGHT_CAL,1,14,0,1,1,1,0,0,3,11,-1928928,22507811,0,ACCUM_G0,3,11,0,,,,0,0,0,0,1,,,,,,0
106,WAIT_MAC_02,0,0,0,0,0,1,0,0,0,,,,,1030,0,3919,2,6,0,,,,,WEIGHT_CAL,1,15,0,1,1,1,0,0,3,12,1429088,4586499,0,ACCUM_G0,3,12,0,,,,0,0,0,0,1,,,,,,0
107,WAIT_MAC_02,0,0,0,1,0,1,0,0,0,,,,,1030,0,3919,2,6,0,,,,,IDLE,0,0,0,1,1,1,0,0,3,13,4824592,6679555,0,ACCUM_G0,3,13,0,,,,0,0,0,0,1,,,,,,0
