cycle,pos,y,x,och,code,out_ch_done,python,diff
2505,0,0,0,0,0,0,0,0
2525,1,0,1,0,0,0,0,0
2545,2,0,2,0,0,0,0,0
2565,3,0,3,0,79,0,79,0
2585,4,0,4,0,241,0,241,0
2605,5,0,5,0,443,0,443,0
2625,6,0,6,0,0,0,0,0
2645,7,0,7,0,0,0,0,0
2665,8,0,8,0,0,0,0,0
2685,9,0,9,0,0,0,0,0
2705,10,0,10,0,0,0,0,0
2727,11,1,0,0,0,0,0,0
2747,12,1,1,0,0,0,0,0
2767,13,1,2,0,0,0,0,0
2787,14,1,3,0,359,0,359,0
2807,15,1,4,0,699,0,699,0
2827,16,1,5,0,673,0,673,0
2847,17,1,6,0,0,0,0,0
2867,18,1,7,0,0,0,0,0
2887,19,1,8,0,0,0,0,0
2907,20,1,9,0,0,0,0,0
2927,21,1,10,0,0,0,0,0
2949,22,2,0,0,0,0,0,0
2969,23,2,1,0,0,0,0,0
2989,24,2,2,0,247,0,247,0
3009,25,2,3,0,481,0,481,0
3029,26,2,4,0,853,0,853,0
3049,27,2,5,0,143,0,143,0
3069,28,2,6,0,0,0,0,0
3089,29,2,7,0,0,0,0,0
3109,30,2,8,0,0,0,0,0
3129,31,2,9,0,0,0,0,0
3149,32,2,10,0,0,0,0,0
3171,33,3,0,0,0,0,0,0
3191,34,3,1,0,197,0,197,0
3211,35,3,2,0,626,0,626,0
3231,36,3,3,0,678,0,678,0
3251,37,3,4,0,9,0,9,0
3271,38,3,5,0,0,0,0,0
3291,39,3,6,0,0,0,0,0
3311,40,3,7,0,0,0,0,0
3331,41,3,8,0,0,0,0,0
3351,42,3,9,0,0,0,0,0
3371,43,3,10,0,0,0,0,0
3393,44,4,0,0,0,0,0,0
3413,45,4,1,0,532,0,532,0
3433,46,4,2,0,1330,0,1330,0
3453,47,4,3,0,687,0,687,0
3473,48,4,4,0,0,0,0,0
3493,49,4,5,0,0,0,0,0
3513,50,4,6,0,0,0,0,0
3533,51,4,7,0,0,0,0,0
3553,52,4,8,0,0,0,0,0
3573,53,4,9,0,0,0,0,0
3593,54,4,10,0,0,0,0,0
3615,55,5,0,0,5,0,5,0
3635,56,5,1,0,856,0,856,0
3655,57,5,2,0,1790,0,1790,0
3675,58,5,3,0,282,0,282,0
3695,59,5,4,0,0,0,0,0
3715,60,5,5,0,0,0,0,0
