cycle,pos,y,x,och,code,out_ch_done,python,diff
1279,61,4,9,1,1681,0,1681,0
1279,61,4,9,2,0,0,0,0
1299,62,4,10,0,0,0,0,0
1299,62,4,10,1,1681,0,1681,0
1299,62,4,10,2,0,0,0,0
1319,63,4,11,0,0,0,0,0
1319,63,4,11,1,1681,0,1681,0
1319,63,4,11,2,0,0,0,0
1339,64,4,12,0,0,0,0,0
1339,64,4,12,1,1681,0,1681,0
1339,64,4,12,2,0,0,0,0
1367,65,5,0,0,0,0,0,0
1367,65,5,0,1,1681,0,1681,0
1367,65,5,0,2,0,0,0,0
1387,66,5,1,0,0,0,0,0
1387,66,5,1,1,1681,0,1681,0
1387,66,5,1,2,0,0,0,0
1407,67,5,2,0,0,0,0,0
1407,67,5,2,1,1681,0,1681,0
1407,67,5,2,2,0,0,0,0
1427,68,5,3,0,2190,0,2190,0
1427,68,5,3,1,1274,0,1274,0
1427,68,5,3,2,46,0,46,0
1447,69,5,4,0,2948,0,2948,0
1447,69,5,4,1,0,0,0,0
1447,69,5,4,2,5278,0,5278,0
1467,70,5,5,0,1045,0,1045,0
1467,70,5,5,1,0,0,0,0
1467,70,5,5,2,7096,0,7096,0
1487,71,5,6,0,2223,0,2223,0
1487,71,5,6,1,2807,0,2807,0
1487,71,5,6,2,5935,0,5935,0
1507,72,5,7,0,779,0,779,0
1507,72,5,7,1,1981,0,1981,0
1507,72,5,7,2,802,0,802,0
1527,73,5,8,0,0,0,0,0
1527,73,5,8,1,971,0,971,0
1527,73,5,8,2,60,0,60,0
1547,74,5,9,0,0,0,0,0
1547,74,5,9,1,1546,0,1546,0
1547,74,5,9,2,658,0,658,0
1567,75,5,10,0,0,0,0,0
1567,75,5,10,1,1681,0,1681,0
1567,75,5,10,2,31,0,31,0
1587,76,5,11,0,0,0,0,0
1587,76,5,11,1,1681,0,1681,0
1587,76,5,11,2,0,0,0,0
1607,77,5,12,0,0,0,0,0
1607,77,5,12,1,1681,0,1681,0
1607,77,5,12,2,0,0,0,0
1635,78,6,0,0,0,0,0,0
1635,78,6,0,1,1681,0,1681,0
1635,78,6,0,2,0,0,0,0
1655,79,6,1,0,0,0,0,0
1655,79,6,1,1,1681,0,1681,0
1655,79,6,1,2,0,0,0,0
1675,80,6,2,0,0,0,0,0
1675,80,6,2,1,1681,0,1681,0
1675,80,6,2,2,0,0,0,0
1695,81,6,3,0,2922,0,2922,0
1695,81,6,3,1,0,0,0,0
1695,81,6,3,2,1441,0,1441,0
1715,82,6,4,0,2322,0,2322,0
1715,82,6,4,1,0,0,0,0
1715,82,6,4,2,6685,0,6685,0
1735,83,6,5,0,534,0,534,0
1735,83,6,5,1,213,0,213,0
1735,83,6,5,2,6832,0,6832,0
1755,84,6,6,0,1226,0,1226,0
1755,84,6,6,1,378,0,378,0
1755,84,6,6,2,1194,0,1194,0
1775,85,6,7,0,0,0,0,0
1775,85,6,7,1,0,0,0,0
1775,85,6,7,2,2776,0,2776,0
1795,86,6,8,0,0,0,0,0
1795,86,6,8,1,0,0,0,0
1795,86,6,8,2,4293,0,4293,0
1815,87,6,9,0,0,0,0,0
1815,87,6,9,1,0,0,0,0
1815,87,6,9,2,2584,0,2584,0
1835,88,6,10,0,0,0,0,0
1835,88,6,10,1,1253,0,1253,0
1835,88,6,10,2,1406,0,1406,0
1855,89,6,11,0,0,0,0,0
1855,89,6,11,1,1681,0,1681,0
1855,89,6,11,2,95,0,95,0
1875,90,6,12,0,0,0,0,0
1875,90,6,12,1,1681,0,1681,0
1875,90,6,12,2,0,0,0,0
1903,91,7,0,0,0,0,0,0
1903,91,7,0,1,1681,0,1681,0
1903,91,7,0,2,0,0,0,0
1923,92,7,1,0,0,0,0,0
1923,92,7,1,1,1681,0,1681,0
1923,92,7,1,2,0,0,0,0
1943,93,7,2,0,512,0,512,0
1943,93,7,2,1,1647,0,1647,0
1943,93,7,2,2,0,0,0,0
1963,94,7,3,0,2771,0,2771,0
1963,94,7,3,1,0,0,0,0
1963,94,7,3,2,2749,0,2749,0
1983,95,7,4,0,2082,0,2082,0
1983,95,7,4,1,0,0,0,0
1983,95,7,4,2,6008,0,6008,0
2003,96,7,5,0,0,0,0,0
2003,96,7,5,1,0,0,0,0
2003,96,7,5,2,4531,0,4531,0
2023,97,7,6,0,2834,0,2834,0
2023,97,7,6,1,0,0,0,0
2023,97,7,6,2,2923,0,2923,0
2043,98,7,7,0,2915,0,2915,0
2043,98,7,7,1,0,0,0,0
2043,98,7,7,2,6357,0,6357,0
2063,99,7,8,0,2972,0,2972,0
2063,99,7,8,1,0,0,0,0
2063,99,7,8,2,6418,0,6418,0
2083,100,7,9,0,2747,0,2747,0
2083,100,7,9,1,0,0,0,0
2083,100,7,9,2,6179,0,6179,0
