cycle,fsm,ch_count,mac_start,phase_clear,mac_done,is_ch35,in_valid,in_ready,ch_done,pixel_valid,px_frame,px_pass,px_y,px_x,pixel_in0,pixel_in1,pixel_in2,lb_wr_row,lb_wr_col,win_valid,win_frame,win_pass,win_oy,win_ox,wac,weight_valid,out_ch_sel,rom_grp,mac_s1,mac_s2,mac_valid,mac_frame,mac_pass,mac_pos,mac_och,ch_result0,ch_result1,ch_result2,ob_state,ob_pixel_cnt,ob_och_cnt,sum_valid,sum_frame,sum_pos,sum_och,sum_data,sum_ch_done,fifo_count,out_valid,out_ready,out_frame,out_pos,out_och,out_data,out_ch_done,monitor_err
24,CH02_IMG_IN,0,0,0,0,0,1,1,0,1,0,0,1,11,0,0,0,1,11,0,,,,,IDLE,0,0,0,0,0,0,,,,,0,0,0,ACCUM_G0,0,0,0,,,,0,0,0,0,0,,,,,,0
25,CH02_IMG_IN,0,0,0,0,0,1,1,0,1,0,0,1,12,0,0,0,1,12,0,,,,,IDLE,0,0,0,0,0,0,,,,,0,0,0,ACCUM_G0,0,0,0,,,,0,0,0,0,1,,,,,,0
26,CH02_IMG_IN,0,0,0,0,0,1,1,0,1,0,0,2,0,0,0,0,2,0,0,,,,,IDLE,0,0,0,0,0,0,,,,,0,0,0,ACCUM_G0,0,0,0,,,,0,0,0,0,0,,,,,,0
27,CH02_IMG_IN,0,0,0,0,0,1,1,0,1,0,0,2,1,0,0,0,2,1,0,,,,,IDLE,0,0,0,0,0,0,,,,,0,0,0,ACCUM_G0,0,0,0,,,,0,0,0,0,0,,,,,,0
28,CH02_IMG_IN,0,0,0,0,0,1,1,0,1,0,0,2,2,0,0,0,2,2,0,,,,,IDLE,0,0,0,0,0,0,,,,,0,0,0,ACCUM_G0,0,0,0,,,,0,0,0,0,0,,,,,,0
29,CH02_IMG_IN,0,0,0,0,0,1,0,0,0,,,,,0,0,0,2,3,1,0,0,0,0,IDLE,0,0,0,0,0,0,,,,,0,0,0,ACCUM_G0,0,0,0,,,,0,0,0,0,1,,,,,,0
30,WAIT_MAC_02,0,1,0,0,0,1,0,0,0,,,,,0,0,0,2,3,0,,,,,IDLE,0,0,0,0,0,0,,,,,0,0,0,ACCUM_G0,0,0,0,,,,0,0,0,0,1,,,,,,0
31,WAIT_MAC_02,0,0,0,0,0,1,0,0,0,,,,,0,0,0,2,3,0,,,,,WEIGHT_CAL,1,0,0,0,0,0,,,,,0,0,0,ACCUM_G0,0,0,0,,,,0,0,0,0,1,,,,,,0
32,WAIT_MAC_02,0,0,0,0,0,1,0,0,0,,,,,0,0,0,2,3,0,,,,,WEIGHT_CAL,1,1,0,1,0,0,,,,,0,0,0,ACCUM_G0,0,0,0,,,,0,0,0,0,0,,,,,,0
33,WAIT_MAC_02,0,0,0,0,0,1,0,0,0,,,,,0,0,0,2,3,0,,,,,WEIGHT_CAL,1,2,0,1,1,0,,,,,0,0,0,ACCUM_G0,0,0,0,,,,0,0,0,0,0,,,,,,0
34,WAIT_MAC_02,0,0,0,0,0,1,0,0,0,,,,,0,0,0,2,3,0,,,,,WEIGHT_CAL,1,3,0,1,1,1,0,0,0,0,100,0,0,ACCUM_G0,0,0,0,,,,0,0,0,0,0,,,,,,0
35,WAIT_MAC_02,0,0,0,0,0,1,0,0,0,,,,,0,0,0,2,3,0,,,,,WEIGHT_CAL,1,4,0,1,1,1,0,0,0,1,200,0,0,ACCUM_G0,0,1,0,,,,0,0,0,0,0,,,,,,0
36,WAIT_MAC_02,0,0,0,0,0,1,0,0,0,,,,,0,0,0,2,3,0,,,,,WEIGHT_CAL,1,5,0,1,1,1,0,0,0,2,300,0,0,ACCUM_G0,0,2,0,,,,0,0,0,0,1,,,,,,0
37,WAIT_MAC_02,0,0,0,0,0,1,0,0,0,,,,,0,0,0,2,3,0,,,,,WEIGHT_CAL,1,6,0,1,1,1,0,0,0,3,400,0,0,ACCUM_G0,0,3,0,,,,0,0,0,0,1,,,,,,0
38,WAIT_MAC_02,0,0,0,0,0,1,0,0,0,,,,,0,0,0,2,3,0,,,,,WEIGHT_CAL,1,7,0,1,1,1,0,0,0,4,500,0,0,ACCUM_G0,0,4,0,,,,0,0,0,0,0,,,,,,0
39,WAIT_MAC_02,0,0,0,0,0,1,0,0,0,,,,,0,0,0,2,3,0,,,,,WEIGHT_CAL,1,8,0,1,1,1,0,0,0,5,600,0,0,ACCUM_G0,0,5,0,,,,0,0,0,0,1,,,,,,0
40,WAIT_MAC_02,0,0,0,0,0,1,0,0,0,,,,,0,0,0,2,3,0,,,,,WEIGHT_CAL,1,9,0,1,1,1,0,0,0,6,700,0,0,ACCUM_G0,0,6,0,,,,0,0,0,0,0,,,,,,0
41,WAIT_MAC_02,0,0,0,0,0,1,0,0,0,,,,,0,0,0,2,3,0,,,,,WEIGHT_CAL,1,10,0,1,1,1,0,0,0,7,800,0,0,ACCUM_G0,0,7,0,,,,0,0,0,0,1,,,,,,0
42,WAIT_MAC_02,0,0,0,0,0,1,0,0,0,,,,,0,0,0,2,3,0,,,,,WEIGHT_CAL,1,11,0,1,1,1,0,0,0,8,900,0,0,ACCUM_G0,0,8,0,,,,0,0,0,0,0,,,,,,0
43,WAIT_MAC_02,0,0,0,0,0,1,0,0,0,,,,,0,0,0,2,3,0,,,,,WEIGHT_CAL,1,12,0,1,1,1,0,0,0,9,1000,0,0,ACCUM_G0,0,9,0,,,,0,0,0,0,0,,,,,,0
44,WAIT_MAC_02,0,0,0,0,0,1,0,0,0,,,,,0,0,0,2,3,0,,,,,WEIGHT_CAL,1,13,0,1,1,1,0,0,0,10,1100,0,0,ACCUM_G0,0,10,0,,,,0,0,0,0,0,,,,,,0
45,WAIT_MAC_02,0,0,0,0,0,1,0,0,0,,,,,0,0,0,2,3,0,,,,,WEIGHT_CAL,1,14,0,1,1,1,0,0,0,11,1200,0,0,ACCUM_G0,0,11,0,,,,0,0,0,0,0,,,,,,0
46,WAIT_MAC_02,0,0,0,0,0,1,0,0,0,,,,,0,0,0,2,3,0,,,,,WEIGHT_CAL,1,15,0,1,1,1,0,0,0,12,1300,0,0,ACCUM_G0,0,12,0,,,,0,0,0,0,0,,,,,,0
47,WAIT_MAC_02,0,0,0,1,0,1,0,0,0,,,,,0,0,0,2,3,0,,,,,IDLE,0,0,0,1,1,1,0,0,0,13,1400,0,0,ACCUM_G0,0,13,0,,,,0,0,0,0,0,,,,,,0
48,CH02_IMG_IN,0,0,0,0,0,1,1,0,1,0,0,2,3,0,0,0,2,3,0,,,,,IDLE,0,0,0,0,1,1,0,0,0,14,1500,0,0,ACCUM_G0,0,14,0,,,,0,0,0,0,0,,,,,,0
49,CH02_IMG_IN,0,0,0,0,0,1,0,0,0,,,,,0,0,0,2,4,1,0,0,0,1,IDLE,0,0,0,0,0,1,0,0,0,15,1600,0,0,ACCUM_G0,0,15,0,,,,0,0,0,0,0,,,,,,0
50,WAIT_MAC_02,0,1,0,0,0,1,0,0,0,,,,,0,0,0,2,4,0,,,,,IDLE,0,0,0,0,0,0,,,,,0,0,0,ACCUM_G0,1,0,0,,,,0,0,0,0,0,,,,,,0
51,WAIT_MAC_02,0,0,0,0,0,1,0,0,0,,,,,0,0,0,2,4,0,,,,,WEIGHT_CAL,1,0,0,0,0,0,,,,,0,0,0,ACCUM_G0,1,0,0,,,,0,0,0,0,0,,,,,,0
52,WAIT_MAC_02,0,0,0,0,0,1,0,0,0,,,,,0,0,0,2,4,0,,,,,WEIGHT_CAL,1,1,0,1,0,0,,,,,0,0,0,ACCUM_G0,1,0,0,,,,0,0,0,0,0,,,,,,0
53,WAIT_MAC_02,0,0,0,0,0,1,0,0,0,,,,,0,0,0,2,4,0,,,,,WEIGHT_CAL,1,2,0,1,1,0,,,,,0,0,0,ACCUM_G0,1,0,0,,,,0,0,0,0,0,,,,,,0
54,WAIT_MAC_02,0,0,0,0,0,1,0,0,0,,,,,0,0,0,2,4,0,,,,,WEIGHT_CAL,1,3,0,1,1,1,0,0,1,0,0,0,0,ACCUM_G0,1,0,0,,,,0,0,0,0,0,,,,,,0
55,WAIT_MAC_02,0,0,0,0,0,1,0,0,0,,,,,0,0,0,2,4,0,,,,,WEIGHT_CAL,1,4,0,1,1,1,0,0,1,1,0,0,0,ACCUM_G0,1,1,0,,,,0,0,0,0,0,,,,,,0
56,WAIT_MAC_02,0,0,0,0,0,1,0,0,0,,,,,0,0,0,2,4,0,,,,,WEIGHT_CAL,1,5,0,1,1,1,0,0,1,2,0,0,0,ACCUM_G0,1,2,0,,,,0,0,0,0,1,,,,,,0
57,WAIT_MAC_02,0,0,0,0,0,1,0,0,0,,,,,0,0,0,2,4,0,,,,,WEIGHT_CAL,1,6,0,1,1,1,0,0,1,3,0,0,0,ACCUM_G0,1,3,0,,,,0,0,0,0,0,,,,,,0
58,WAIT_MAC_02,0,0,0,0,0,1,0,0,0,,,,,0,0,0,2,4,0,,,,,WEIGHT_CAL,1,7,0,1,1,1,0,0,1,4,0,0,0,ACCUM_G0,1,4,0,,,,0,0,0,0,0,,,,,,0
59,WAIT_MAC_02,0,0,0,0,0,1,0,0,0,,,,,0,0,0,2,4,0,,,,,WEIGHT_CAL,1,8,0,1,1,1,0,0,1,5,0,0,0,ACCUM_G0,1,5,0,,,,0,0,0,0,0,,,,,,0
60,WAIT_MAC_02,0,0,0,0,0,1,0,0,0,,,,,0,0,0,2,4,0,,,,,WEIGHT_CAL,1,9,0,1,1,1,0,0,1,6,0,0,0,ACCUM_G0,1,6,0,,,,0,0,0,0,0,,,,,,0
61,WAIT_MAC_02,0,0,0,0,0,1,0,0,0,,,,,0,0,0,2,4,0,,,,,WEIGHT_CAL,1,10,0,1,1,1,0,0,1,7,0,0,0,ACCUM_G0,1,7,0,,,,0,0,0,0,0,,,,,,0
62,WAIT_MAC_02,0,0,0,0,0,1,0,0,0,,,,,0,0,0,2,4,0,,,,,WEIGHT_CAL,1,11,0,1,1,1,0,0,1,8,0,0,0,ACCUM_G0,1,8,0,,,,0,0,0,0,1,,,,,,0
63,WAIT_MAC_02,0,0,0,0,0,1,0,0,0,,,,,0,0,0,2,4,0,,,,,WEIGHT_CAL,1,12,0,1,1,1,0,0,1,9,0,0,0,ACCUM_G0,1,9,0,,,,0,0,0,0,0,,,,,,0
64,WAIT_MAC_02,0,0,0,0,0,1,0,0,0,,,,,0,0,0,2,4,0,,,,,WEIGHT_CAL,1,13,0,1,1,1,0,0,1,10,0,0,0,ACCUM_G0,1,10,0,,,,0,0,0,0,0,,,,,,0
65,WAIT_MAC_02,0,0,0,0,0,1,0,0,0,,,,,0,0,0,2,4,0,,,,,WEIGHT_CAL,1,14,0,1,1,1,0,0,1,11,0,0,0,ACCUM_G0,1,11,0,,,,0,0,0,0,0,,,,,,0
