cycle,pos,y,x,och,code,out_ch_done,python,diff
9556,23,2,1,1,0,0,0,0
9557,24,2,2,1,0,0,0,0
9558,25,2,3,1,0,0,0,0
9559,26,2,4,1,0,0,0,0
9560,27,2,5,1,0,0,0,0
9561,28,2,6,1,0,0,0,0
9562,29,2,7,1,0,0,0,0
9563,30,2,8,1,0,0,0,0
9564,31,2,9,1,0,0,0,0
9565,32,2,10,1,0,0,0,0
9566,33,3,0,1,0,0,0,0
9567,34,3,1,1,0,0,0,0
9568,35,3,2,1,0,0,0,0
9569,36,3,3,1,0,0,0,0
9570,37,3,4,1,0,0,0,0
9571,38,3,5,1,0,0,0,0
9572,39,3,6,1,0,0,0,0
9573,40,3,7,1,0,0,0,0
9574,41,3,8,1,0,0,0,0
9575,42,3,9,1,0,0,0,0
9576,43,3,10,1,0,0,0,0
9577,44,4,0,1,0,0,0,0
9578,45,4,1,1,0,0,0,0
9579,46,4,2,1,0,0,0,0
9580,47,4,3,1,0,0,0,0
9581,48,4,4,1,0,0,0,0
9582,49,4,5,1,0,0,0,0
9583,50,4,6,1,0,0,0,0
9584,51,4,7,1,0,0,0,0
9585,52,4,8,1,0,0,0,0
9586,53,4,9,1,0,0,0,0
9587,54,4,10,1,0,0,0,0
9588,55,5,0,1,0,0,0,0
9589,56,5,1,1,0,0,0,0
9590,57,5,2,1,0,0,0,0
9591,58,5,3,1,0,0,0,0
9592,59,5,4,1,0,0,0,0
9593,60,5,5,1,0,0,0,0
9594,61,5,6,1,0,0,0,0
9595,62,5,7,1,0,0,0,0
9596,63,5,8,1,0,0,0,0
9597,64,5,9,1,0,0,0,0
9598,65,5,10,1,0,0,0,0
9599,66,6,0,1,0,0,0,0
9600,67,6,1,1,0,0,0,0
9601,68,6,2,1,0,0,0,0
9602,69,6,3,1,0,0,0,0
9603,70,6,4,1,0,0,0,0
9604,71,6,5,1,0,0,0,0
9605,72,6,6,1,0,0,0,0
9606,73,6,7,1,0,0,0,0
9607,74,6,8,1,0,0,0,0
9608,75,6,9,1,0,0,0,0
9609,76,6,10,1,0,0,0,0
9610,77,7,0,1,0,0,0,0
9611,78,7,1,1,0,0,0,0
9612,79,7,2,1,0,0,0,0
9613,80,7,3,1,0,0,0,0
9614,81,7,4,1,0,0,0,0
9615,82,7,5,1,0,0,0,0
9616,83,7,6,1,0,0,0,0
9617,84,7,7,1,0,0,0,0
9618,85,7,8,1,0,0,0,0
9619,86,7,9,1,0,0,0,0
9620,87,7,10,1,0,0,0,0
9621,88,8,0,1,0,0,0,0
9622,89,8,1,1,0,0,0,0
9623,90,8,2,1,0,0,0,0
9624,91,8,3,1,0,0,0,0
9625,92,8,4,1,0,0,0,0
9626,93,8,5,1,0,0,0,0
9627,94,8,6,1,0,0,0,0
9628,95,8,7,1,0,0,0,0
9629,96,8,8,1,0,0,0,0
9630,97,8,9,1,0,0,0,0
9631,98,8,10,1,0,0,0,0
9632,99,9,0,1,0,0,0,0
9633,100,9,1,1,0,0,0,0
9634,101,9,2,1,0,0,0,0
9635,102,9,3,1,0,0,0,0
9636,103,9,4,1,0,0,0,0
9637,104,9,5,1,0,0,0,0
9638,105,9,6,1,0,0,0,0
9639,106,9,7,1,0,0,0,0
9640,107,9,8,1,0,0,0,0
9641,108,9,9,1,0,0,0,0
9642,109,9,10,1,0,0,0,0
9643,110,10,0,1,0,0,0,0
9644,111,10,1,1,0,0,0,0
9645,112,10,2,1,0,0,0,0
9646,113,10,3,1,0,0,0,0
9647,114,10,4,1,0,0,0,0
9648,115,10,5,1,0,0,0,0
9649,116,10,6,1,0,0,0,0
9650,117,10,7,1,0,0,0,0
9651,118,10,8,1,0,0,0,0
9652,119,10,9,1,0,0,0,0
9653,120,10,10,1,0,1,0,0
9654,0,0,0,2,0,0,0,0
9655,1,0,1,2,0,0,0,0
9656,2,0,2,2,0,0,0,0
9657,3,0,3,2,0,0,0,0
9658,4,0,4,2,0,0,0,0
9659,5,0,5,2,0,0,0,0
9660,6,0,6,2,0,0,0,0
9661,7,0,7,2,0,0,0,0
9662,8,0,8,2,0,0,0,0
9663,9,0,9,2,0,0,0,0
9664,10,0,10,2,0,0,0,0
9665,11,1,0,2,0,0,0,0
9666,12,1,1,2,0,0,0,0
9667,13,1,2,2,0,0,0,0
9668,14,1,3,2,0,0,0,0
9669,15,1,4,2,0,0,0,0
9670,16,1,5,2,0,0,0,0
9671,17,1,6,2,218,0,218,0
9672,18,1,7,2,0,0,0,0
9673,19,1,8,2,0,0,0,0
9674,20,1,9,2,0,0,0,0
9675,21,1,10,2,0,0,0,0
9676,22,2,0,2,0,0,0,0
9677,23,2,1,2,0,0,0,0
9678,24,2,2,2,0,0,0,0
9679,25,2,3,2,0,0,0,0
9680,26,2,4,2,0,0,0,0
9681,27,2,5,2,711,0,711,0
9682,28,2,6,2,554,0,554,0
9683,29,2,7,2,0,0,0,0
9684,30,2,8,2,0,0,0,0
9685,31,2,9,2,0,0,0,0
9686,32,2,10,2,0,0,0,0
9687,33,3,0,2,0,0,0,0
9688,34,3,1,2,0,0,0,0
9689,35,3,2,2,0,0,0,0
9690,36,3,3,2,0,0,0,0
9691,37,3,4,2,731,0,731,0
9692,38,3,5,2,1535,0,1535,0
9693,39,3,6,2,813,0,813,0
9694,40,3,7,2,34,0,34,0
9695,41,3,8,2,0,0,0,0
9696,42,3,9,2,0,0,0,0
9697,43,3,10,2,0,0,0,0
9698,44,4,0,2,0,0,0,0
9699,45,4,1,2,0,0,0,0
9700,46,4,2,2,0,0,0,0
9701,47,4,3,2,173,0,173,0
9702,48,4,4,2,1250,0,1250,0
9703,49,4,5,2,1848,0,1848,0
9704,50,4,6,2,390,0,390,0
9705,51,4,7,2,145,0,145,0
9706,52,4,8,2,163,0,163,0
9707,53,4,9,2,0,0,0,0
9708,54,4,10,2,0,0,0,0
9709,55,5,0,2,0,0,0,0
9710,56,5,1,2,0,0,0,0
9711,57,5,2,2,0,0,0,0
9712,58,5,3,2,605,0,605,0
9713,59,5,4,2,1720,0,1720,0
9714,60,5,5,2,605,0,605,0
9715,61,5,6,2,0,0,0,0
9716,62,5,7,2,0,0,0,0
9717,63,5,8,2,0,0,0,0
9718,64,5,9,2,0,0,0,0
9719,65,5,10,2,0,0,0,0
9720,66,6,0,2,0,0,0,0
9721,67,6,1,2,0,0,0,0
9722,68,6,2,2,0,0,0,0
9723,69,6,3,2,844,0,844,0
9724,70,6,4,2,1459,0,1459,0
9725,71,6,5,2,197,0,197,0
9726,72,6,6,2,360,0,360,0
9727,73,6,7,2,859,0,859,0
9728,74,6,8,2,0,0,0,0
9729,75,6,9,2,0,0,0,0
9730,76,6,10,2,0,0,0,0
9731,77,7,0,2,0,0,0,0
9732,78,7,1,2,0,0,0,0
9733,79,7,2,2,161,0,161,0
9734,80,7,3,2,573,0,573,0
9735,81,7,4,2,1071,0,1071,0
9736,82,7,5,2,495,0,495,0
9737,83,7,6,2,1899,0,1899,0
9738,84,7,7,2,2058,0,2058,0
9739,85,7,8,2,0,0,0,0
9740,86,7,9,2,0,0,0,0
9741,87,7,10,2,0,0,0,0
9742,88,8,0,2,0,0,0,0
9743,89,8,1,2,0,0,0,0
9744,90,8,2,2,289,0,289,0
9745,91,8,3,2,1299,0,1299,0
9746,92,8,4,2,686,0,686,0
9747,93,8,5,2,1680,0,1680,0
9748,94,8,6,2,2149,0,2149,0
9749,95,8,7,2,921,0,921,0
9750,96,8,8,2,0,0,0,0
9751,97,8,9,2,0,0,0,0
9752,98,8,10,2,0,0,0,0
9753,99,9,0,2,0,0,0,0
9754,100,9,1,2,0,0,0,0
9755,101,9,2,2,617,0,617,0
9756,102,9,3,2,1294,0,1294,0
9757,103,9,4,2,1080,0,1080,0
9758,104,9,5,2,1159,0,1159,0
9759,105,9,6,2,694,0,694,0
9760,106,9,7,2,0,0,0,0
9761,107,9,8,2,0,0,0,0
