cycle,pos,y,x,och,code,out_ch_done,python,diff
560,49,1,23,2,0,0,0,0
570,50,1,24,0,0,0,0,0
570,50,1,24,1,1681,0,1681,0
570,50,1,24,2,0,0,0,0
580,51,1,25,0,0,0,0,0
580,51,1,25,1,1681,0,1681,0
580,51,1,25,2,0,0,0,0
592,52,2,0,0,0,0,0,0
592,52,2,0,1,1681,0,1681,0
592,52,2,0,2,0,0,0,0
602,53,2,1,0,0,0,0,0
602,53,2,1,1,1681,0,1681,0
602,53,2,1,2,0,0,0,0
612,54,2,2,0,0,0,0,0
612,54,2,2,1,1681,0,1681,0
612,54,2,2,2,0,0,0,0
622,55,2,3,0,0,0,0,0
622,55,2,3,1,1681,0,1681,0
622,55,2,3,2,0,0,0,0
632,56,2,4,0,0,0,0,0
632,56,2,4,1,1681,0,1681,0
632,56,2,4,2,0,0,0,0
642,57,2,5,0,0,0,0,0
642,57,2,5,1,1681,0,1681,0
642,57,2,5,2,0,0,0,0
652,58,2,6,0,0,0,0,0
652,58,2,6,1,1681,0,1681,0
652,58,2,6,2,0,0,0,0
662,59,2,7,0,0,0,0,0
662,59,2,7,1,1681,0,1681,0
662,59,2,7,2,0,0,0,0
672,60,2,8,0,0,0,0,0
672,60,2,8,1,1681,0,1681,0
672,60,2,8,2,0,0,0,0
682,61,2,9,0,0,0,0,0
682,61,2,9,1,1681,0,1681,0
682,61,2,9,2,0,0,0,0
692,62,2,10,0,0,0,0,0
692,62,2,10,1,1681,0,1681,0
692,62,2,10,2,0,0,0,0
702,63,2,11,0,0,0,0,0
702,63,2,11,1,1351,0,1351,0
702,63,2,11,2,0,0,0,0
712,64,2,12,0,0,0,0,0
712,64,2,12,1,175,0,175,0
712,64,2,12,2,0,0,0,0
722,65,2,13,0,0,0,0,0
722,65,2,13,1,0,0,0,0
722,65,2,13,2,0,0,0,0
732,66,2,14,0,0,0,0,0
732,66,2,14,1,0,0,0,0
732,66,2,14,2,0,0,0,0
742,67,2,15,0,0,0,0,0
742,67,2,15,1,0,0,0,0
742,67,2,15,2,0,0,0,0
752,68,2,16,0,0,0,0,0
752,68,2,16,1,0,0,0,0
752,68,2,16,2,858,0,858,0
762,69,2,17,0,0,0,0,0
762,69,2,17,1,0,0,0,0
762,69,2,17,2,1792,0,1792,0
772,70,2,18,0,0,0,0,0
772,70,2,18,1,0,0,0,0
772,70,2,18,2,1269,0,1269,0
782,71,2,19,0,0,0,0,0
782,71,2,19,1,1003,0,1003,0
782,71,2,19,2,125,0,125,0
792,72,2,20,0,0,0,0,0
792,72,2,20,1,1616,0,1616,0
792,72,2,20,2,0,0,0,0
802,73,2,21,0,0,0,0,0
802,73,2,21,1,1681,0,1681,0
802,73,2,21,2,0,0,0,0
812,74,2,22,0,0,0,0,0
812,74,2,22,1,1681,0,1681,0
812,74,2,22,2,0,0,0,0
822,75,2,23,0,0,0,0,0
822,75,2,23,1,1681,0,1681,0
822,75,2,23,2,0,0,0,0
832,76,2,24,0,0,0,0,0
832,76,2,24,1,1681,0,1681,0
832,76,2,24,2,0,0,0,0
842,77,2,25,0,0,0,0,0
842,77,2,25,1,1681,0,1681,0
842,77,2,25,2,0,0,0,0
854,78,3,0,0,0,0,0,0
854,78,3,0,1,1681,0,1681,0
854,78,3,0,2,0,0,0,0
864,79,3,1,0,0,0,0,0
864,79,3,1,1,1681,0,1681,0
864,79,3,1,2,0,0,0,0
874,80,3,2,0,0,0,0,0
874,80,3,2,1,1681,0,1681,0
874,80,3,2,2,0,0,0,0
884,81,3,3,0,0,0,0,0
