# conv_l1_real_A.csv frame 0: final outputs, 6 ch x 26 x 26
# values      : 4056 / 4056
# cycles      : 68 .. 7544
# out_ch_done : 6 values (last pixel of each pass/frame)
# vs Python   : 4055 exact, 1 different

och  0
      x0    x1    x2    x3    x4    x5    x6    x7    x8    x9    x10   x11   x12   x13   x14   x15   x16   x17   x18   x19   x20   x21   x22   x23   x24   x25  
  y18  1681  1681  1681  1611  1075     0     0     0     0     0     0     0     0     0     0     0     0     0  2519  3302  2013  1827  1702  1681  1681  1681
  y19  1681  1681  1681  1665  1540   581     0     0     0     0     0     0     0     0     0     0   392  2905  3611  3012  2050  1720  1685  1681  1681  1681
  y20  1681  1681  1681  1720  1956  2403  2293     0     0     0     0     0     0     0     0     0  1818  1989  2334  1886  1716  1681  1681  1681  1681  1681
  y21  1681  1681  1681  1701  1891  3056  4240  2079     0     0     0     0     0     0   846  3175  3374  1998  1767  1685  1681  1681  1681  1681  1681  1681
  y22  1681  1681  1681  1681  1750  2641  4261  5542  5277  2966  1405  1423  2234  4109  4652  4244  3042  2055  1716  1681  1681  1681  1681  1681  1681  1681
  y23  1681  1681  1681  1681  1681  1895  2636  4343  5759  6303  5679  5594  5493  4795  3198  2448  1876  1712  1681  1681  1681  1681  1681  1681  1681  1681
  y24  1681  1681  1681  1681  1681  1691  1758  2190  3275  4284  4554  4447  3943  2856  1945  1713  1681  1681  1681  1681  1681  1681  1681  1681  1681  1681
  y25  1681  1681  1681  1681  1681  1681  1681  1759  2062  2347  2482  2452  2292  1985  1766  1685  1681  1681  1681  1681  1681  1681  1681  1681  1681  1681

och  2
      x0    x1    x2    x3    x4    x5    x6    x7    x8    x9    x10   x11   x12   x13   x14   x15   x16   x17   x18   x19   x20   x21   x22   x23   x24   x25  
  y0      0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0    76    17     0     0     0     0     0     0     0
  y1      0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0    90   603   361     0     0     0     0     0     0     0
  y2      0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0   858  1792  1269   125     0     0     0     0     0     0
  y3      0     0     0     0     0     0     0     0     0     0     0     0     0     0   663  2615  3277  3133  2489   466    37     0     0     0     0     0
  y4      0     0     0     0     0     0     0     0     0     0     0     0     0  1581  3965  6053  6312  4885  2974   766   143     0     0     0     0     0
  y5      0     0     0     0     0     0     0     0     0     0     0     0   777  3919  5920  7108  7047  5207  2686   680   123     0     0     0     0     0
  y6      0     0     0     0     0     0     0     0     0     0     0   219  2607  5517  7206  7578  5976  3737  1295   236     0     0     0     0     0     0
  y7      0     0     0     0     0     0     0     0     0     0     0  2355  5541  6834  6906  5714  2672   845    65     0     0     0     0     0     0     0
  y8      0     0     0     0     0     0     0     0     0     0  2188  4733  6940  7205  5313  2835   641    81     0     0     0     0     0     0     0     0
  y9      0     0     0     0     0     0     0     0     0   596  4137  6646  7338  5983  3490   934    95     0     0     0     0     0     0     0     0     0
  y10     0     0     0     0     0     0     0     0   382  3374  6256  7096  5935  2698   802     0     0     0    64     0     0     0     0     0     0     0
  y11     0     0     0     0     0     0     0    46  2142  5278  7037  5901  3335   567     0     0     0    60   658   264    31     0     0     0     0     0
  y12     0     0     0     0     0     0     0   598  3018  6307  6832  4702  1194     0     0     0   397   806  1781  1083   431    21     0     0     0     0
  y13     0     0     0     0     0     0     0  1441  4033  6685  5742  2931     0     0   634  2776  4293  3718  2584  1839  1406   466    95     0     0     0
  y14     0     0     0     0     0     0   242  2337  4381  6008  4531  1991    34  1162  3657  6005  6321  5599  4234  3223  2762  1316   363     0     0     0
  y15     0     0     0     0     0     0    49  2749  4811  5532  3814  1220   385  2923  4931  6357  6418  6355  6179  5539  4269  1873   463     0     0     0
  y16     0     0     0     0     0     0   817  3691  5599  5612  3302  1003   658  4048  5776  6402  6426  6654  6901  6207  4357  1613   360     0     0     0
  y17     0     0     0     0     0   255  1780  4580  6068  5735  2974  1948  3062  5660  6309  6433  6484  6963  7255  5846  3521   830   107     0     0     0
  y18     0     0     0     0     0   213  1989  5059  6139  5408  3009  3071  4931  6268  6413  6473  6987  7313  6364  3569  1555   174     0     0     0     0
  y19     0     0     0     0    84   997  2520  5342  5403  4431  3487  4098  5924  6403  6645  6973  7496  6581  4388  1553   355     0     0     0     0     0
  y20     0     0     0     1   321  1915  3278  4982  4938  4428  4830  5793  6351  6480  6960  7272  6352  3994  1114   138     0     0     0     0     0     0
  y21     0     0     0     0   183  1659  3061  4170  5000  6020  6236  6415  6615  7171  7221  6257  3583  1506   138     0     0     0     0     0     0     0
  y22     0     0     0     0    28   979  2526  4133  4760  6101  6644  6803  7040  7208  6202  3998  1545   345     0     0     0     0     0     0     0     0
  y23     0     0     0     0     0   177   929  2731  4255  5121  5913  5985  5793  4664  2694   751   115     0     0     0     0     0     0     0     0     0
  y24     0     0     0     0     0     0    37   488  1524  2335  2825  2772  2299  1254   422     0     0     0     0     0     0     0     0     0     0     0
  y25     0     0     0     0     0     0     0    38   346   629   735   699   536   229    19     0     0     0     0     0     0     0     0     0     0     0

och  3
      x0    x1    x2    x3    x4    x5    x6    x7    x8    x9    x10   x11   x12   x13   x14   x15   x16   x17   x18   x19   x20   x21   x22   x23   x24   x25  
  y0      0     0     0     0     0     0     0     0     0     0     0     0     0     0     0   260   416   224     0     0     0     0     0     0     0     0
  y1      0     0     0     0     0     0     0     0     0     0     0     0     0     0   177  1184  2357  2051   808     0     0     0     0     0     0     0
  y2      0     0     0     0     0     0     0     0     0     0     0     0   220   754   753  2398  5110  5541  3118   200     0     0     0     0     0     0
  y3      0     0     0     0     0     0     0     0     0     0     0     0    27     0     0  1623  4147  7235  5649  1011     0     0     0     0     0     0
  y4      0     0     0     0     0     0     0     0     0     0     0     0     0     0     0    48  1152  5118  5307  1455   137     0     0     0     0     0
  y5      0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0  2286  2533   704    36     0     0     0     0     0
  y6      0     0     0     0     0     0     0     0     0   243     0     0     0     3     0     0     0   420   142     0     0     0     0     0     0     0
  y7      0     0     0     0     0     0     0     0     0     0     0     0     0   106  1845  1739   199   250     0     0     0     0     0     0     0     0
  y8      0     0     0     0     0     0     0     0     0     0     0     0     0     0  2045  2079   341     0     0     0     0     0     0     0     0     0
  y9      0     0     0     0     0     0     0     0     0     0     0     0     0   103   864   222     0     0     0     0     0     0     0     0     0     0
  y10     0     0     0     0     0     0     0     0     0     0   222  1559  1611   670   573     0     0    80    98     0     0     0     0     0     0     0
  y11     0     0     0     0     0     0     0     0     0     0   807  3433  2624   562   867  1561  2465  2852  2545   715     0     0     0     0     0     0
  y12     0     0     0     0     0     0     0     0     0     0  2005  3904  1869   943  1228  2831  3767  5754  6663  3468  1168     0     0     0     0     0
  y13     0     0     0     0     0     0     0     0     0   481  3580  3550   350     0     0  1357  1840  4295  7382  6978  4411  1278   117     0     0     0
  y14     0     0     0     0     0     0     0     0     0  2310  4966  2783     0     0     0    65   341  1560  3667  6416  6514  2966   619     0     0     0
  y15     0     0     0     0     0     0     0     0     0  3327  5700  3041     0     0     0   220   309   398   757  3791  5705  3111   747     0     0     0
  y16     0     0     0     0     0     0     0     0     0  3345  5643  2044     0     0     0   265   305   118     0  2229  4087  2027   464     0     0     0
  y17     0     0     0     0     0     0     0     0   329  3105  3943     0     0     0   116   268   250   283   168  1882  2396   430     0     0     0     0
  y18     0     0     0     0     0     0     0     0  1258  3609  1913     0     0   136   277   234     0   253   488  1369  1421     0     0     0     0     0
  y19     0     0     0     0     0     0     0     0  2387  4840  1366     0     0   263   102     0     0  1073   452     0   110     0     0     0     0     0
  y20     0     0     0     0     0     0     0     0   568  3121  1299     0   206   251   273   130  1106  1944   460     0     0     0     0     0     0     0
  y21     0     0     0     0     0     0     0     0     0    79   252   104     0     0     0   137  1299  1496    10     0     0     0     0     0     0     0
  y22     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0    98     0     0     0     0     0     0     0     0
  y23     0     0     0     0     0     0     0     0     0     0     0     0     0     0   155     0     0     0     0     0     0     0     0     0     0     0
  y24     0     0     0     0     0     0     0     0     0     0     0     0     0     0   238     0     0     0     0     0     0     0     0     0     0     0
  y25     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0

och  4
      x0    x1    x2    x3    x4    x5    x6    x7    x8    x9    x10   x11   x12   x13   x14   x15   x16   x17   x18   x19   x20   x21   x22   x23   x24   x25  
  y0      0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
  y1      0     0     0     0     0     0     0     0     0     0     0     0     0     0     0   260    32     0     0     0     0     0     0     0     0     0
  y2      0     0     0     0     0     0     0     0     0     0     0     0     0     0     0   338   283   554     0     0     0     0     0     0     0     0
  y3      0     0     0     0     0     0     0     0     0     0     0     0     0   695  2486  2375  2755  2260     0     0     0     0     0     0     0     0
  y4      0     0     0     0     0     0     0     0     0     0     0     0   888  1013  1590   900  1247  1104     0    21     0     0     0     0     0     0
  y5      0     0     0     0     0     0     0     0     0     0     0     0   973   380  1102   951  1496   494   309   158    16     0     0     0     0     0
  y6      0     0     0     0     0     0     0     0     0     0     0  1420  1476  1468  1474     0     0     0     0     0     0     0     0     0     0     0
  y7      0     0     0     0     0     0     0     0     0   168   971  2152  1196   978    99     0     0     0     0     0     0     0     0     0     0     0
  y8      0     0     0     0     0     0     0     0     0   220   181  1087  1112  1105     0     0     0     0     0     0     0     0     0     0     0     0
  y9      0     0     0     0     0     0     0     0   471  1850  1433  1704     0     0     0     0     0     0     0     0     0     0     0     0     0     0
  y10     0     0     0     0     0     0     0     0  1756  1954  1397   197     0     0     0     0     0   115     0     0     0     0     0     0     0     0
  y11     0     0     0     0     0     0     0     0  1484   903  1428     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
  y12     0     0     0     0     0     0     0     0  1745  1086   671     0     0     0    92   910  1489  1721   302     0     0     0     0     0     0     0
  y13     0     0     0     0     0     0   277   292  1855   590     0     0     0   790  2673  2263  1981  1678   866   672     0     0     0     0     0     0
  y14     0     0     0     0     0     0     0     0   981   254     0     0   163  1023  1954   841   492   938  1724  2687   884    20     0     0     0     0
  y15     0     0     0     0     0     0   643   813  1010   655    50     0    68     0   428   392   398   451   649  1520     0     0     0     0     0     0
  y16     0     0     0     0     0     0  1265  1271  1301   615     0     0  1780  1025   690   439   429   781   965  1501     0   173     0     0     0     0
  y17     0     0     0     0     0     0   959   653  1102   245     0   704  1666   877   516   386   479   903     0     0     0     0     0     0     0     0
  y18     0     0     0     0     0     0  1485   628   840     0     0   875   652   455   423   490  1243  1057     0     0     0     0     0     0     0     0
  y19     0     0     0     0    72     0  1866  1230   471     0     0   573   684   441   773   936  1156     0     0     0     0     0     0     0     0     0
  y20     0     0     0     0     0     0   320   513  1599  1540  1354   930   483   500   896     0     0     0     0     0     0     0     0     0     0     0
  y21     0     0     0     0     0     0     0   151  1628  1061   619   598   715  1481   966    71     0     0     0     0     0     0     0     0     0     0
  y22     0     0     0     0     0     0     0     0   914  2257  1905  1910  1787   957     0     0     0     0     0     0     0     0     0     0     0     0
  y23     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
  y24     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
  y25     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0

och  5
      x0    x1    x2    x3    x4    x5    x6    x7    x8    x9    x10   x11   x12   x13   x14   x15   x16   x17   x18   x19   x20   x21   x22   x23   x24   x25  
  y0     15    15    15    15    15    15    15    15    15    15    15    15    15    46   184   294   241    98    22    15    15    15    15    15    15    15
  y1     15    15    15    15    15    15    15    15    15    15    15    15    29   248   933  1199   815   201     7    14    15    15    15    15    15    15
  y2     15    15    15    15    15    15    15    15    15    15    15   100   405  1448  3119  3004  1519     0     0     4    16    15    15    15    15    15
